ID,District,Neighborhood,NeighborhoodCityState,Latitude,Longitude,ViolentCrimes,CrimesPer1000,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,AGE0_4,AGE5_11,AGE12_14,AGE15_17,AGE18_24,AGE25_34,AGE35_44,AGE45_64,AGE65ovr,Families,Married,Married18,MaleHH,MaleHH18,FemaleHH,FemaleHH18,Housing,Occupied,Occ_Own,Occ_Rent,Vacant,Vac_Rent,Vac_Sale,Vac_Other
80,"SOUTHEAST","GRACELAND PARK","GRACELAND PARK Baltimore MD",39.282204,-76.532927,261,130,2011,1444,224,39,71,0,162,71,410,997,1014,137,157,45,55,205,312,215,562,323,465,296,93,52,14,117,51,830,741,551,190,89,31,24,34
81,"SOUTHEAST","GREEKTOWN","GREEKTOWN Baltimore MD",39.28513,-76.552436,370,101,3678,2401,251,41,56,11,777,141,1293,1925,1753,289,281,124,86,346,844,454,777,477,827,508,199,115,41,204,99,1510,1309,664,645,201,98,38,65
82,"EASTERN","GREENMOUNT WEST","GREENMOUNT WEST Baltimore MD",39.30918,-76.610944,203,152,1339,331,960,5,20,0,2,21,14,697,642,83,86,35,30,215,289,164,342,95,241,72,23,37,10,132,68,854,570,135,435,284,102,16,166
83,"NORTHERN","GREENSPRING","GREENSPRING Baltimore MD",39.337837,-76.660042,233,68,3436,22,3357,5,7,1,3,41,17,1512,1924,338,347,152,173,400,445,360,799,422,856,235,72,94,43,527,281,1513,1187,576,611,326,130,56,140
84,"NORTHWEST","GROVE PARK","GROVE PARK Baltimore MD",39.340315,-76.703347,123,64,1934,21,1859,10,4,0,5,35,19,832,1102,126,129,76,83,201,218,197,517,387,489,192,54,53,21,244,124,945,871,406,465,74,38,5,31
85,"NORTHERN","GUILFORD","GUILFORD Baltimore MD",39.341543,-76.615277,113,51,2214,1810,221,2,100,3,16,62,70,1099,1115,132,218,80,79,139,134,327,775,330,610,552,232,13,6,45,20,941,876,791,85,65,7,7,51
86,"SOUTHWEST","GWYNNS FALLS","GWYNNS FALLS Baltimore MD",39.277653,-76.668704,242,204,1184,641,479,9,3,0,12,40,51,593,591,85,116,47,58,117,167,166,327,101,285,137,52,49,22,99,47,511,439,244,195,72,19,8,45
87,"NORTHWEST","HANLON/LONGWOOD","HANLONLONGWOOD Baltimore MD",39.316626,-76.669426,310,134,2311,23,2222,2,2,0,18,44,35,1029,1282,123,216,89,101,211,290,269,641,371,564,183,53,66,22,315,122,1133,898,533,365,235,60,25,150
88,"WESTERN","HARLEM PARK","HARLEM PARK Baltimore MD",39.297249,-76.639827,480,131,3654,43,3524,7,22,0,6,52,29,1747,1907,236,287,118,128,400,419,405,1011,650,715,176,56,112,31,427,220,2648,1579,345,1234,1069,203,38,828
89,"NORTHERN","HARWOOD","HARWOOD Baltimore MD",39.320098,-76.611666,198,126,1575,324,1174,5,25,0,10,37,44,717,858,117,133,66,59,214,281,230,350,125,331,128,40,34,13,169,83,749,570,303,267,179,62,19,98
90,"CENTRAL","HERITAGE CROSSING","HERITAGE CROSSING Baltimore MD",39.296625,-76.628997,106,103,1029,30,958,2,17,0,5,17,25,428,601,102,123,34,45,139,145,128,252,61,254,61,26,27,16,166,104,446,437,156,281,9,5,0,4
91,"NORTHEAST","HILLEN","HILLEN Baltimore MD",39.339949,-76.590722,165,70,2344,110,2178,2,10,0,10,34,24,1085,1259,146,187,89,91,277,289,260,669,336,584,254,76,62,27,268,111,980,898,679,219,82,39,20,23
92,"NORTHERN","HOES HEIGHTS","HOES HEIGHTS Baltimore MD",39.340246,-76.636939,78,90,865,626,145,4,56,2,8,24,28,421,444,51,38,16,19,62,185,142,232,120,209,134,48,26,4,49,23,461,428,272,156,33,10,6,17
93,"SOUTHERN","HOLLINS PARK","HOLLINS PARK Baltimore MD",39.287329,-76.643736,294,160,1838,561,1169,6,39,1,21,41,53,947,891,101,130,49,63,205,412,303,474,101,343,128,47,55,11,160,94,1144,853,220,633,291,86,31,174
94,"NORTHERN","HOMELAND","HOMELAND Baltimore MD",39.357503,-76.621054,125,39,3201,2782,232,5,116,0,18,48,80,1558,1643,256,311,101,108,232,230,502,1028,433,827,742,380,23,14,62,29,1191,1143,1019,124,48,11,15,22
95,"NORTHWEST","HOWARD PARK","HOWARD PARK Baltimore MD",39.331218,-76.694693,448,76,5929,174,5588,16,19,0,36,96,104,2737,3192,305,442,224,242,519,609,714,1799,1075,1438,671,185,146,44,621,235,2578,2335,1521,814,243,84,26,133
96,"SOUTHWEST","HUNTING RIDGE","HUNTING RIDGE Baltimore MD",39.292607,-76.701915,128,99,1296,365,882,3,4,1,5,36,25,613,683,96,98,45,36,107,146,192,398,178,349,214,85,31,13,104,45,616,563,398,165,53,26,12,15
97,"NORTHEAST","IDLEWOOD","IDLEWOOD Baltimore MD",39.370107,-76.589134,87,33,2676,349,2228,1,25,1,23,49,65,1200,1476,173,256,114,129,253,401,384,754,212,700,316,146,64,24,320,160,1144,1084,848,236,60,15,34,11
